BTC,ETH,DOGE,SOL,LTC,UNI,LINK,ARB,XRP,BNB,AAVE,ATOM,NEAR,AVAX,OP,timestamp,long,short,BTC2,ETH2,GMX
1.679018210152977,1.53397762293755,1.5708820197058566,3.4260480787673915,1.6366433208891071,1.802919372247152,1.7358638564510935,1.3451419005374263,1.6377420858344645,1.4875304871041612,1.116942086022249,1.0726488070808284,1.0644537213126102,1.2120581712892762,0.9770113581180284,2024-03-31 18:37:02.846749,,,,,
1.6798728627149109,1.5350613251277034,1.5719239421942883,3.426743991284622,1.6379299282111923,1.7969357560519783,1.737125622646429,1.3451327154210873,1.638837840855682,1.4876689138878874,1.1180303016596087,1.0734259079478108,1.065273211568971,1.2125063530709617,0.9776213467864262,2024-03-31 18:43:11.115702,,,,,
1.679275902261678,1.5350594405438502,1.5724805374961963,3.425608927660476,1.638040714896147,1.7964872029822727,1.736731960473524,1.3448674073062952,1.6387352741137202,1.4873120560112745,1.1178550877944502,1.0733237997279823,1.0651567172009415,1.2121006560882714,0.97754132261176,2024-03-31 18:46:05.270943,,,,,
1.6789748188430298,1.5347914103671545,1.5724905065436956,3.4252627795791226,1.6378049311238356,1.7952742407802995,1.7369384352011117,1.3445817955176376,1.638692211599008,1.4871906208415089,1.1178794133072665,1.0732186330097822,1.0650517428246482,1.2119306184157663,0.9775615937788712,2024-03-31 18:46:56.640987,,,,,
1.61251300242616,1.55383319990276,1.6695091179595565,3.2350983404955573,1.631597516347828,1.5703681343836122,1.5621823266814698,0.9715491575659896,1.637565169814316,1.507221028207672,0.9258853746041592,1.055867802288905,1.100967680269129,0.9946726060378948,0.7244310605044922,2024-07-04 12:23:38.760063,,,0.8297654487161442,0.9010911624802472,0.9220315843055724
1.61203979765062,1.5518066053568118,1.6674430325622465,3.229014330701556,1.6295971528345643,1.5678047660556689,1.5601542898983891,0.9707403750261556,1.6355048259476976,1.5055261648223868,0.9225422213645144,1.0545605540620313,1.0994843528450926,0.9941899526654407,0.7225812989581962,2024-07-04 12:34:18.562124,,,0.8292978393231171,0.8987269472510249,0.9200805142311624
1.611317812472275,1.55209505533619,1.6677450998562795,3.2297875099350137,1.6299058654081906,1.5697125082251877,1.5595450745452764,0.9710893507112932,1.6358033658400464,1.5050126027968438,0.9208393165886726,1.0547510806524574,1.0998158091520265,0.9952683433299508,0.7228532246996636,2024-07-04 12:43:24.443040,,,0.8287049768373338,0.8992161937021114,0.9202134953572396
1.6116491719049186,1.5518335088900963,1.6674498363391106,3.22409930446565,1.6295584781641677,1.5689871056514475,1.559280342694628,0.9714916575280566,1.6354179339708563,1.5042749429939914,0.9184675461576746,1.054486855804284,1.099530995500294,0.9944160375479864,0.7226801889315788,2024-07-04 12:56:30.715648,,,0.8286870821799388,0.89864356777457,0.9198188952136004
1.6108329582711296,1.5512129257274134,1.6668142469886016,3.2241805622754027,1.6290198616859874,1.5672640416483197,1.558416299231914,0.9709819706063986,1.6349272838828068,1.5037698601080645,0.9194060596111064,1.0542098884824145,1.099238214719489,0.9939985057625856,0.7226163217856223,2024-07-04 13:02:44.337665,,,0.8282284454391708,0.8982857283323405,0.9200733682228828
1.6098420839808971,1.548805119531812,1.6643005225002856,3.230714428055179,1.6264412362925644,1.5651972274235924,1.5572619760465654,0.9707337509814012,1.632242059886857,1.5037910516173172,0.9160220601404762,1.0525520754761049,1.0974271655025578,0.9905765073846708,0.7181844061739662,2024-07-04 13:18:49.933810,,,0.8271119707680245,0.895259914664054,0.9204625578255272
1.607656120741643,1.5487785397345195,1.6643308988003778,3.235453724910798,1.6263171911034162,1.5618098638326892,1.5535461861375692,0.969267099927082,1.6321165820937118,1.5000756356319482,0.9111237459595892,1.0524533695611549,1.097290607072534,0.9857638324450376,0.7142727142496104,2024-07-04 13:42:17.316051,,,0.824845862453448,0.8951097166107808,0.9183529493843182
1.604657472644412,1.5459706594364095,1.6615140411384848,3.2298490939493982,1.6233031463319976,1.5547563399677702,1.5449001225306551,0.965599994426428,1.6291265701305608,1.494619158450209,0.9099708278988996,1.0505967876397184,1.0953299207397107,0.9804131572313324,0.7109252927561246,2024-07-04 14:00:04.247811,,,0.8219287354068393,0.8919745132961079,0.9142773047495414
1.604115635388252,1.5458528255630348,1.661425721685978,3.226708265276189,1.6231006646055912,1.5522948938781378,1.5434849499105343,0.9639604741354652,1.6289050237484537,1.4919951033725942,0.9100733871836084,1.0504442300991892,1.0951526327535832,0.9791771178371044,0.7095312838372516,2024-07-04 14:03:40.745126,,,0.8213101827281144,0.8918157269522321,0.9135646814567318
1.606963193363807,1.5489164237415134,1.6646701723740502,3.229129718303679,1.6263075616409626,1.5540976781300162,1.54434226055272,0.9647878831944372,1.632242826878214,,,,,,,2024-07-04 14:10:40.138384,,,0.8240627392831084,0.895368413998586,0.9140869880994822
1.6058631018226943,1.5477412265248158,1.6633808306490725,3.2291288871584696,1.625075590297656,1.5540691378285398,1.544660812891629,0.965045356463321,1.6309732553765608,1.4939816022973536,0.910659710141825,1.0517184756436166,1.0965500137851396,0.9811644255381406,0.7109270922826691,2024-07-04 14:13:36.765215,,,0.8228729719827218,0.8938490519455348,0.9139267523409876
1.6009137223132743,1.5434106103001832,1.6587914881002803,3.218730363064277,1.6205011435319194,1.548072295648721,1.5394570905495486,0.9609781168980012,1.6261413837542504,1.4906903778063842,0.9070807272301118,1.0486713443726108,1.0933064494385178,0.979720479651167,0.7087620539904965,2024-07-04 14:24:51.330387,,,0.8180197521286462,0.888491638996983,0.9097811039779444
1.5980277720429632,1.5371147011457658,1.6527106635483355,3.1955741962648574,1.614645269920086,1.5400717138772655,1.53322055894479,0.9571425273667812,1.6203687020545317,1.4870362876458585,0.9032236971509005,1.045174389704089,1.0891722600445484,0.975674565017401,0.7076752741671478,2024-07-04 14:29:42.207978,,,0.8163685877491874,0.8826117287487261,0.9047692278264312
1.609247285098446,1.5252403332213906,1.6464392415601938,3.330098812478055,1.6046606519635682,1.598435756777945,1.59170791945799,0.9393077997497754,1.606810177898287,1.5074422294419554,0.9276979159112877,1.039646838531518,1.083152368375854,1.019493531997548,0.7135840448621857,2024-07-08 09:59:05.062624,,,0.8309177813040108,0.8726775328118067,0.8912042831108349
